DP_ID,DP_name,Delivery Partner,,,,
DV_61000001,Omaja Dhawan,Delhivery,,,,
DV_61000002,Chanakya Bail,Xpressbees,,,, 
DV_61000003,Bina Borde,Delhivery,,,, 
DV_61000004,Nimrat Butala,Xpressbees,,,, 
DV_61000005,Ekbal Sathe,Xpressbees,,,, 
DV_61000006,Andrew Sathe,Delhivery,,,, 
DV_61000007,Nandini Mistry,Ecom Express,,,, 
DV_61000008,Chaaya Oommen,Blue Dart,,,, 
DV_61000009,Nikita Raman,Shadowfax,,,, 
DV_61000010,Ridhi Sahni,Shadowfax,,,, 
DV_61000011,Onveer Jayaraman,Shadowfax,,,, 
DV_61000012,Vrishti Jhaveri,Blue Dart,,,, 
DV_61000013,Pushti Palla,Shadowfax,,,, 
DV_61000014,Ikbal Chakraborty,Shadowfax,,,, 
DV_61000015,Sarthak Kumar,Xpressbees,,,, 
DV_61000016,Isaac Buch,Ecom Express,,,, 
DV_61000017,Meera Dave,Ecom Express,,,, 
DV_61000018,Ekta Dara,Delhivery,,,, 
DV_61000019,Aarush Jayaraman,Shadowfax,,,, 
DV_61000020,Oscar Chadha,Xpressbees,,,, 
DV_61000021,Ethan Arya,Xpressbees,,,, 
DV_61000022,Aayush Sodhi,Xpressbees,,,, 
DV_61000023,Tristan Sharma,Delhivery,,,, 
DV_61000024,Gautami Mishra,Blue Dart,,,, 
DV_61000025,Vinaya Ravel,Delhivery,,,, 
DV_61000026,Upkaar Sachdeva,Ecom Express,,,, 
DV_61000027,Harita Venkataraman,Ecom Express,,,, 
DV_61000028,Rachana Radhakrishnan,Shadowfax,,,, 
DV_61000029,Neha Sane,Shadowfax,,,, 
DV_61000030,Ethan Shan,Shadowfax,,,, 
DV_61000031,Atharv Panchal,Xpressbees,,,, 
DV_61000032,Chandresh Nagarajan,Xpressbees,,,, 
DV_61000033,Turvi Krishna,Xpressbees,,,, 
DV_61000034,Diya Behl,Ecom Express,,,, 
DV_61000035,Suhani Ahluwalia,Xpressbees,,,, 
DV_61000036,Jeremiah Baral,Blue Dart,,,, 
DV_61000037,Yash Bala,Shadowfax,,,, 
DV_61000038,Vasatika Savant,Shadowfax,,,, 
DV_61000039,Tamanna Memon,Blue Dart,,,, 
DV_61000040,Triya D’Alia,Xpressbees,,,, 
DV_61000041,Gaurav Anne,Ecom Express,,,, 
DV_61000042,Chakradev Muni,Xpressbees,,,, 
DV_61000043,Widisha Devi,Delhivery,,,, 
DV_61000044,Fariq Chandran,Delhivery,,,, 
DV_61000045,Zaid Bhardwaj,Blue Dart,,,, 
DV_61000046,Ryan Raval,Shadowfax,,,, 
DV_61000047,Chaman Chandra,Shadowfax,,,, 
DV_61000048,Mitesh Badami,Delhivery,,,, 
DV_61000049,Hitesh Goel,Xpressbees,,,, 
DV_61000050,Samarth Chana,Ecom Express,,,, 
DV_61000051,Odika Chakraborty,Blue Dart,,,, 
DV_61000052,Meghana Dave,Shadowfax,,,, 
